Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Total Doses - Daily - Age 12+,Total Doses - Daily - Age 18+,Total Doses - Daily - Age 65+,1st Dose - Daily - Age 12+,1st Dose - Daily - Age 18+,1st Dose - Daily - Age 65+,Vaccine Series Completed - Daily - Age 12+,Vaccine Series Completed - Daily - Age 18+,Vaccine Series Completed - Daily - Age 65+,Population,ZIP Code Location,Row_ID
60601,04/09/2021,323,10259,228,6908,0.458,131,3679,0.244,323,323,13,228,228,4,131,131,9,15083,POINT (-87.622844 41.886262),60601-20210409
60601,04/10/2021,210,10469,153,7061,0.468,92,3771,0.25,210,207,5,153,150,2,92,92,4,15083,POINT (-87.622844 41.886262),60601-20210410
60601,04/11/2021,123,10592,84,7145,0.474,67,3838,0.254,123,121,1,84,83,1,67,66,1,15083,POINT (-87.622844 41.886262),60601-20210411
60601,04/12/2021,208,10800,119,7264,0.482,117,3955,0.262,208,208,5,119,119,2,117,117,4,15083,POINT (-87.622844 41.886262),60601-20210412
60601,04/13/2021,314,11114,159,7423,0.492,155,4110,0.272,314,314,9,159,159,1,155,155,8,15083,POINT (-87.622844 41.886262),60601-20210413
60601,04/14/2021,198,11312,122,7545,0.5,76,4186,0.278,198,196,3,122,120,2,76,76,1,15083,POINT (-87.622844 41.886262),60601-20210414
60601,04/15/2021,257,11569,156,7701,0.511,102,4288,0.284,257,257,7,156,156,7,102,102,0,15083,POINT (-87.622844 41.886262),60601-20210415
60601,04/16/2021,251,11820,134,7835,0.519,117,4405,0.292,251,250,8,134,133,2,117,117,6,15083,POINT (-87.622844 41.886262),60601-20210416
60601,04/17/2021,177,11997,87,7922,0.525,90,4495,0.298,177,177,6,87,87,3,90,90,3,15083,POINT (-87.622844 41.886262),60601-20210417
60601,04/18/2021,69,12066,17,7939,0.526,52,4547,0.301,69,68,2,17,16,0,52,52,2,15083,POINT (-87.622844 41.886262),60601-20210418
60601,04/19/2021,234,12300,84,8023,0.532,150,4697,0.311,234,233,6,84,83,0,150,150,6,15083,POINT (-87.622844 41.886262),60601-20210419
60601,04/20/2021,351,12651,148,8171,0.542,203,4900,0.325,351,351,11,148,148,2,203,203,9,15083,POINT (-87.622844 41.886262),60601-20210420
60601,04/21/2021,284,12935,151,8322,0.552,133,5033,0.334,284,283,4,151,151,2,133,132,2,15083,POINT (-87.622844 41.886262),60601-20210421
60601,04/22/2021,339,13274,214,8536,0.566,125,5158,0.342,339,335,7,214,210,6,125,125,1,15083,POINT (-87.622844 41.886262),60601-20210422
60601,04/23/2021,291,13565,141,8677,0.575,150,5308,0.352,291,288,9,141,138,1,150,150,8,15083,POINT (-87.622844 41.886262),60601-20210423
60601,04/24/2021,219,13784,111,8788,0.583,108,5416,0.359,219,219,4,111,111,1,108,108,3,15083,POINT (-87.622844 41.886262),60601-20210424
60601,04/25/2021,74,13858,35,8823,0.585,39,5455,0.362,74,71,3,35,32,1,39,39,2,15083,POINT (-87.622844 41.886262),60601-20210425
60601,04/26/2021,219,14077,81,8904,0.59,138,5593,0.371,219,217,6,81,79,1,138,138,5,15083,POINT (-87.622844 41.886262),60601-20210426
60601,04/27/2021,306,14383,72,8976,0.595,240,5833,0.387,306,306,1,72,72,1,240,240,0,15083,POINT (-87.622844 41.886262),60601-20210427
60601,04/28/2021,235,14618,74,9050,0.6,174,6007,0.398,235,234,5,74,73,5,174,174,5,15083,POINT (-87.622844 41.886262),60601-20210428
60601,04/29/2021,262,14880,109,9159,0.607,164,6171,0.409,262,262,2,109,109,2,164,164,2,15083,POINT (-87.622844 41.886262),60601-20210429
60601,04/30/2021,313,15193,119,9278,0.615,207,6378,0.423,313,312,6,119,119,4,207,206,4,15083,POINT (-87.622844 41.886262),60601-20210430
60601,05/01/2021,172,15365,60,9338,0.619,120,6498,0.431,172,170,4,60,60,3,120,118,1,15083,POINT (-87.622844 41.886262),60601-20210501
60601,05/02/2021,59,15424,21,9359,0.62,47,6545,0.434,59,58,2,21,21,0,47,46,2,15083,POINT (-87.622844 41.886262),60601-20210502
60601,05/03/2021,185,15609,44,9403,0.623,153,6698,0.444,185,184,3,44,44,1,153,152,2,15083,POINT (-87.622844 41.886262),60601-20210503
60601,05/04/2021,233,15842,67,9470,0.628,180,6878,0.456,233,233,3,67,67,1,180,180,2,15083,POINT (-87.622844 41.886262),60601-20210504
60601,05/05/2021,183,16025,57,9527,0.632,134,7012,0.465,183,181,3,57,56,2,134,133,2,15083,POINT (-87.622844 41.886262),60601-20210505
60601,05/06/2021,195,16220,49,9576,0.635,154,7166,0.475,195,193,7,49,48,3,154,153,5,15083,POINT (-87.622844 41.886262),60601-20210506
60601,05/07/2021,178,16398,52,9628,0.638,134,7300,0.484,178,177,7,52,52,2,134,133,6,15083,POINT (-87.622844 41.886262),60601-20210507
60601,05/08/2021,127,16525,39,9667,0.641,94,7394,0.49,127,127,7,39,39,4,94,94,5,15083,POINT (-87.622844 41.886262),60601-20210508
60601,05/09/2021,56,16581,30,9697,0.643,31,7425,0.492,56,56,0,30,30,0,31,31,0,15083,POINT (-87.622844 41.886262),60601-20210509
60601,05/10/2021,119,16700,36,9733,0.645,90,7515,0.498,119,119,1,36,36,0,90,90,1,15083,POINT (-87.622844 41.886262),60601-20210510
60601,05/11/2021,200,16900,47,9780,0.648,161,7676,0.509,200,198,3,47,46,2,161,160,1,15083,POINT (-87.622844 41.886262),60601-20210511
60601,05/12/2021,163,17063,45,9825,0.651,123,7799,0.517,163,162,1,45,45,0,123,122,1,15083,POINT (-87.622844 41.886262),60601-20210512
60601,05/13/2021,242,17305,76,9901,0.656,171,7970,0.528,242,227,6,76,63,2,171,169,4,15083,POINT (-87.622844 41.886262),60601-20210513
60601,05/14/2021,217,17522,76,9977,0.661,149,8119,0.538,217,204,3,76,66,3,149,146,0,15083,POINT (-87.622844 41.886262),60601-20210514
60601,05/15/2021,154,17676,40,10017,0.664,117,8236,0.546,154,145,0,40,32,0,117,116,0,15083,POINT (-87.622844 41.886262),60601-20210515
60601,05/16/2021,64,17740,31,10048,0.666,38,8274,0.549,64,53,1,31,21,0,38,37,1,15083,POINT (-87.622844 41.886262),60601-20210516
60601,05/17/2021,143,17883,57,10105,0.67,99,8373,0.555,143,134,0,57,50,0,99,97,0,15083,POINT (-87.622844 41.886262),60601-20210517
60601,05/18/2021,105,17988,46,10151,0.673,68,8441,0.56,105,101,1,46,42,0,68,68,1,15083,POINT (-87.622844 41.886262),60601-20210518
60601,05/19/2021,136,18124,69,10220,0.678,75,8516,0.565,136,126,4,69,61,2,75,73,2,15083,POINT (-87.622844 41.886262),60601-20210519
60601,05/20/2021,115,18239,55,10275,0.681,79,8595,0.57,115,105,3,55,46,2,79,78,1,15083,POINT (-87.622844 41.886262),60601-20210520
60601,05/21/2021,165,18404,64,10339,0.685,108,8703,0.577,165,163,10,64,62,4,108,108,6,15083,POINT (-87.622844 41.886262),60601-20210521
60601,05/22/2021,79,18483,43,10382,0.688,46,8749,0.58,79,75,1,43,39,0,46,46,1,15083,POINT (-87.622844 41.886262),60601-20210522
60601,05/23/2021,40,18523,28,10410,0.69,25,8774,0.582,40,35,0,28,23,0,25,25,0,15083,POINT (-87.622844 41.886262),60601-20210523
60601,05/24/2021,86,18609,47,10457,0.693,50,8824,0.585,86,85,3,47,46,2,50,50,1,15083,POINT (-87.622844 41.886262),60601-20210524
60601,05/25/2021,73,18682,27,10484,0.695,51,8875,0.588,73,72,0,27,26,0,51,51,0,15083,POINT (-87.622844 41.886262),60601-20210525
60601,05/26/2021,85,18767,44,10528,0.698,54,8929,0.592,85,84,4,44,43,3,54,54,3,15083,POINT (-87.622844 41.886262),60601-20210526
60601,05/27/2021,69,18836,32,10560,0.7,43,8972,0.595,69,67,2,32,31,2,43,42,1,15083,POINT (-87.622844 41.886262),60601-20210527
60601,05/28/2021,82,18918,44,10604,0.703,54,9026,0.598,82,80,1,44,42,1,54,54,1,15083,POINT (-87.622844 41.886262),60601-20210528
60601,05/29/2021,45,18963,28,10632,0.705,27,9053,0.6,45,43,1,28,26,0,27,27,1,15083,POINT (-87.622844 41.886262),60601-20210529
60601,05/30/2021,21,18984,15,10647,0.706,10,9063,0.601,21,19,0,15,13,0,10,10,0,15083,POINT (-87.622844 41.886262),60601-20210530
60601,05/31/2021,1,18985,0,10647,0.706,1,9064,0.601,1,1,0,0,0,0,1,1,0,15083,POINT (-87.622844 41.886262),60601-20210531
60601,06/01/2021,101,19086,65,10712,0.71,43,9107,0.604,101,95,3,65,62,2,43,40,1,15083,POINT (-87.622844 41.886262),60601-20210601
60601,06/02/2021,52,19138,27,10739,0.712,28,9135,0.606,52,50,0,27,27,0,28,26,0,15083,POINT (-87.622844 41.886262),60601-20210602
60601,06/03/2021,78,19216,28,10767,0.714,58,9193,0.609,78,71,5,28,26,1,58,53,4,15083,POINT (-87.622844 41.886262),60601-20210603
60601,06/04/2021,79,19295,42,10809,0.717,47,9240,0.613,79,72,0,42,42,0,47,40,0,15083,POINT (-87.622844 41.886262),60601-20210604
60601,06/05/2021,48,19343,15,10824,0.718,36,9276,0.615,48,37,1,15,13,1,36,27,0,15083,POINT (-87.622844 41.886262),60601-20210605
60601,06/06/2021,53,19396,27,10851,0.719,35,9311,0.617,53,40,1,27,24,1,35,25,0,15083,POINT (-87.622844 41.886262),60601-20210606
60601,06/07/2021,71,19467,22,10873,0.721,51,9362,0.621,71,63,0,22,18,0,51,47,0,15083,POINT (-87.622844 41.886262),60601-20210607
60601,06/08/2021,68,19535,37,10910,0.723,44,9406,0.624,68,62,3,37,34,2,44,41,1,15083,POINT (-87.622844 41.886262),60601-20210608
60601,06/09/2021,52,19587,21,10931,0.725,39,9445,0.626,52,41,3,21,21,3,39,28,1,15083,POINT (-87.622844 41.886262),60601-20210609
